Artists,Name,Weekly rank,Peak position,Weeks on chart,Week
Chris Stapleton,Broken Halos,49,49,14,2018-03-10
Daddy Yankee,Dura,50,50,4,2018-03-10
"N*E*R*D, Rihanna",Lemon,51,40,17,2018-03-10
"Ozuna, Romeo Santos",El Farsante,52,49,5,2018-03-10
"Migos, Drake",Walk It Talk It,53,18,5,2018-03-10
"Famous Dex, A$AP Rocky",Pick It Up,54,54,16,2018-03-10
Rich The Kid,Plug Walk,55,55,3,2018-03-10
"Marshmello, Anne",Friends,56,56,3,2018-03-10
Luke Bryan,Most People Are Good,57,57,5,2018-03-10
"Khalid, Normani",Love Lies,58,43,2,2018-03-10
Old Dominion,Written In The Sand,59,51,15,2018-03-10
6ix9ine,Billy,60,,,2018-03-10
5 Seconds Of Summer,Want You Back,61,,,2018-03-10
"Lil Skies, Landon Cube",Nowadays,62,55,8,2018-03-10
"6ix9ine, Fetty Wap, A Boogie Wit da Hoodie",Keke,63,43,7,2018-03-10
"ScHoolboy Q, 2 Chainz, Saudi",X,64,49,3,2018-03-10
Migos,Narcos,65,36,5,2018-03-10
Lil Xan,Betrayed,66,64,16,2018-03-10
Derez De'Shon,Hardaway,67,67,4,2018-03-10
Jordan Davis,Singles You Up,68,68,4,2018-03-10
Devin Dawson,All On Me,69,69,14,2018-03-10
YoungBoy Never Broke Again,No Smoke,70,61,13,2018-03-10
Post Malone,Candy Paint,71,50,19,2018-03-10
Russell Dickerson,Yours,72,49,20,2018-03-10
"6ix9ine, Tory Lanez, Young Thug",Rondo,73,,,2018-03-10
Walker Hayes,You Broke Up With Me,74,62,19,2018-03-10
Brett Eldredge,The Long Way,75,75,4,2018-03-10
"SOB, RBE",Paramedic!,76,65,3,2018-03-10
"Lil Skies, Landon Cube",Red Roses,77,69,8,2018-03-10
Dua Lipa,IDGAF,78,78,7,2018-03-10
"Luis Fonsi, Demi Lovato",Echame La Culpa,79,47,15,2018-03-10
"Ozuna, Cardi B",La Modelo,80,52,10,2018-03-10
Blac Youngsta,Booty,81,,,2018-03-10
"Trippie Redd, Travis Scott",Dark Knight Dummo,82,72,3,2018-03-10
P!nk,Beautiful Trauma,83,78,10,2018-03-10
Demi Lovato,Tell Me You Love Me,84,53,14,2018-03-10
YBN Nahmir,Rubbin Off The Paint,85,46,15,2018-03-10
"Jacquees, Dej Loaf",At The Club,86,86,4,2018-03-10
"Keala Settle, The Greatest Showman Ensemble",This Is Me,87,58,9,2018-03-10
Lauv,I Like Me Better,88,88,3,2018-03-10
6ix9ine,Kooda,89,50,9,2018-03-10
"Khalid, Swae Lee",The Ways,90,63,3,2018-03-10
Tank,When We,91,79,9,2018-03-10
"Migos, Post Malone",Notice Me,92,52,5,2018-03-10
"Maluma, Nego do Borel",Corazon,93,87,8,2018-03-10
"Daniel Caesar, Kali Uchis",Get You,94,93,2,2018-03-10
"Kodak Black, Lil Wayne",Codeine Dreaming,95,52,14,2018-03-10
High Valley,She's With Me,96,,,2018-03-10
"Becky G, Bad Bunny",Mayores,97,74,18,2018-03-10
Cole Swindell,Break Up In The End,98,,,2018-03-10
Janelle Monae,Make Me Feel,99,,,2018-03-10
Plies,Rock,100,95,5,2018-03-10
Drake,God's Plan,1,1,5,2018-03-03
"Bruno Mars, Cardi B",Finesse,3,3,8,2018-03-03
"Camila Cabello, Young Thug",Havana,4,1,28,2018-03-03
"BlocBoy JB, Drake",Look Alive,5,5,2,2018-03-03
"Post Malone, 21 Savage",Rockstar,6,1,23,2018-03-03
"Kendrick Lamar, SZA",All The Stars,7,7,7,2018-03-03
"Bebe Rexha, Florida Georgia Line",Meant To Be,8,7,18,2018-03-03
"The Weeknd, Kendrick Lamar",Pray For Me,9,7,3,2018-03-03
Migos,Stir Fry,10,8,9,2018-03-03
Dua Lipa,New Rules,11,6,30,2018-03-03
NF,Let You Down,12,12,19,2018-03-03
"Zedd, Maren Morris, Grey",The Middle,13,13,4,2018-03-03
G,Him & I,14,14,12,2018-03-03
"Kendrick Lamar, Zacari",Love.,15,11,35,2018-03-03
Imagine Dragons,Thunder,16,4,43,2018-03-03
Halsey,Bad At Love,17,5,25,2018-03-03
Bazzi,Mine,18,18,5,2018-03-03
Post Malone,I Fall Apart,19,16,22,2018-03-03
"MAX, gnash",Lights Down Low,20,20,20,2018-03-03
Charlie Puth,How Long,21,21,20,2018-03-03
"Migos, Nicki Minaj, Cardi B",MotorSport,22,6,17,2018-03-03
"Jay Rock, Kendrick Lamar, Future, James Blake",King's Dead,23,23,6,2018-03-03
Ed Sheeran,Shape Of You,24,1,59,2018-03-03
6ix9ine,Gummo,25,12,15,2018-03-03
"Cardi B, 21 Savage",Bartier Cardi,26,14,9,2018-03-03
G,No Limit,27,4,24,2018-03-03
Camila Cabello,Never Be The Same,28,27,10,2018-03-03
"Selena Gomez, Marshmello",Wolves,29,20,18,2018-03-03
"Justin Timberlake, Chris Stapleton",Say Something,30,9,4,2018-03-03
Khalid,Young Dumb & Broke,31,18,32,2018-03-03
Portugal. The Man,Feel It Still,32,4,36,2018-03-03
Cardi B,Bodak Yellow,33,1,34,2018-03-03
"Eminem, Ed Sheeran",River,34,11,10,2018-03-03
YoungBoy Never Broke Again,Outside Today,35,35,6,2018-03-03
Thomas Rhett,Marry Me,36,35,12,2018-03-03
"Miguel, Travis Scott",Sky Walker,37,29,22,2018-03-03
"A$AP Ferg, Nicki Minaj",Plain Jane,38,26,22,2018-03-03
Maroon 5,Wait,39,39,6,2018-03-03
"Offset, Metro Boomin",Ric Flair Drip,40,39,17,2018-03-03
Demi Lovato,Sorry Not Sorry,41,6,33,2018-03-03
Jason Aldean,You Make It Easy,42,28,4,2018-03-03
"Khalid, Normani",Love Lies,43,,,2018-03-03
Scotty McCreery,Five More Minutes,44,44,12,2018-03-03
Sam Smith,Too Good At Goodbyes,45,4,24,2018-03-03
"Rich The Kid, Kendrick Lamar",New Freezer,46,46,4,2018-03-03
Lil Pump,Gucci Gang,47,3,24,2018-03-03
"N*E*R*D, Rihanna",Lemon,48,40,16,2018-03-03
"Gucci Mane, Migos",I Get The Bag,49,11,27,2018-03-03
"Hailee Steinfeld, Alesso, Florida Georgia Line, Watt",Let Me Go,50,40,22,2018-03-03
"Macklemore, Kesha",Good Old Days,51,51,18,2018-03-03
"Migos, Drake",Walk It Talk It,52,18,4,2018-03-03
Chris Stapleton,Broken Halos,53,53,13,2018-03-03
Kane Brown,Heaven,54,54,9,2018-03-03
"ScHoolboy Q, 2 Chainz, Saudi",X,55,49,2,2018-03-03
"Ozuna, Romeo Santos",El Farsante,56,49,4,2018-03-03
Daddy Yankee,Dura,57,57,3,2018-03-03
"Marshmello, Anne",Friends,58,58,2,2018-03-03
Old Dominion,Written In The Sand,59,51,14,2018-03-03
Imagine Dragons,Whatever It Takes,60,60,4,2018-03-03
"Famous Dex, A$AP Rocky",Pick It Up,61,57,15,2018-03-03
Migos,Narcos,62,36,4,2018-03-03
Luke Bryan,Most People Are Good,63,63,4,2018-03-03
Walker Hayes,You Broke Up With Me,64,62,18,2018-03-03
"SOB, RBE",Paramedic!,65,65,2,2018-03-03
Lil Xan,Betrayed,66,64,15,2018-03-03
Russell Dickerson,Yours,67,49,19,2018-03-03
"Khalid, Swae Lee",The Ways,68,63,2,2018-03-03
Rich The Kid,Plug Walk,69,62,2,2018-03-03
Devin Dawson,All On Me,70,70,13,2018-03-03
Demi Lovato,Tell Me You Love Me,71,53,13,2018-03-03
"Ozuna, Cardi B",La Modelo,72,52,9,2018-03-03
"Lil Skies, Landon Cube",Nowadays,73,55,7,2018-03-03
YoungBoy Never Broke Again,No Smoke,74,61,12,2018-03-03
Derez De'Shon,Hardaway,75,75,3,2018-03-03
"Luis Fonsi, Demi Lovato",Echame La Culpa,76,47,14,2018-03-03
Jordan Davis,Singles You Up,77,77,3,2018-03-03
"Lil Skies, Landon Cube",Red Roses,78,69,7,2018-03-03
Tank,When We,79,79,8,2018-03-03
Brett Eldredge,The Long Way,80,80,3,2018-03-03
P!nk,Beautiful Trauma,81,78,9,2018-03-03
"6ix9ine, Fetty Wap, A Boogie Wit da Hoodie",Keke,82,43,6,2018-03-03
"Kendrick Lamar, Travis Scott",Big Shot,83,71,2,2018-03-03
Post Malone,Candy Paint,84,50,18,2018-03-03
"Keala Settle, The Greatest Showman Ensemble",This Is Me,85,58,8,2018-03-03
"Jacquees, Dej Loaf",At The Club,86,86,3,2018-03-03
Kelsea Ballerini,Legends,87,68,12,2018-03-03
"Migos, Post Malone",Notice Me,88,52,4,2018-03-03
"Kodak Black, Lil Wayne",Codeine Dreaming,89,52,13,2018-03-03
Lauv,I Like Me Better,90,90,2,2018-03-03
"Taylor Swift, Ed Sheeran, Future",End Game,91,18,14,2018-03-03
"Liam Payne, Rita Ora",For You,92,76,3,2018-03-03
"Daniel Caesar, Kali Uchis",Get You,93,,,2018-03-03
"Maluma, Nego do Borel",Corazon,94,87,7,2018-03-03
Plies,Rock,95,95,4,2018-03-03
Dua Lipa,IDGAF,96,88,6,2018-03-03
YBN Nahmir,Rubbin Off The Paint,97,46,14,2018-03-03
WALK THE MOON,One Foot,98,65,8,2018-03-03
Keith Urban,Female,99,69,6,2018-03-03
"Becky G, Bad Bunny",Mayores,100,74,17,2018-03-03
Drake,God's Plan,1,1,4,2018-02-24
"Bruno Mars, Cardi B",Finesse,3,3,7,2018-02-24
"Camila Cabello, Young Thug",Havana,4,1,27,2018-02-24
"Post Malone, 21 Savage",Rockstar,5,1,22,2018-02-24
"BlocBoy JB, Drake",Look Alive,6,,,2018-02-24
"Bebe Rexha, Florida Georgia Line",Meant To Be,7,7,17,2018-02-24
Dua Lipa,New Rules,8,6,29,2018-02-24
"Kendrick Lamar, SZA",All The Stars,9,9,6,2018-02-24
Migos,Stir Fry,10,8,8,2018-02-24
"The Weeknd, Kendrick Lamar",Pray For Me,11,7,2,2018-02-24
NF,Let You Down,12,12,18,2018-02-24
"Kendrick Lamar, Zacari",Love.,13,11,34,2018-02-24
G,Him & I,14,14,11,2018-02-24
Imagine Dragons,Thunder,15,4,42,2018-02-24
Halsey,Bad At Love,16,5,24,2018-02-24
"Zedd, Maren Morris, Grey",The Middle,17,17,3,2018-02-24
"Migos, Nicki Minaj, Cardi B",MotorSport,18,6,16,2018-02-24
Post Malone,I Fall Apart,19,16,21,2018-02-24
G,No Limit,20,4,23,2018-02-24
Charlie Puth,How Long,21,21,19,2018-02-24
Bazzi,Mine,22,22,4,2018-02-24
"Cardi B, 21 Savage",Bartier Cardi,23,14,8,2018-02-24
Ed Sheeran,Shape Of You,24,1,58,2018-02-24
Cardi B,Bodak Yellow,25,1,33,2018-02-24
"Selena Gomez, Marshmello",Wolves,26,20,17,2018-02-24
"MAX, gnash",Lights Down Low,27,27,19,2018-02-24
6ix9ine,Gummo,28,12,14,2018-02-24
Camila Cabello,Never Be The Same,29,27,9,2018-02-24
Portugal. The Man,Feel It Still,30,4,35,2018-02-24
"Justin Timberlake, Chris Stapleton",Say Something,31,9,3,2018-02-24
Khalid,Young Dumb & Broke,32,18,31,2018-02-24
"Miguel, Travis Scott",Sky Walker,33,29,21,2018-02-24
"A$AP Ferg, Nicki Minaj",Plain Jane,34,26,21,2018-02-24
"Eminem, Ed Sheeran",River,35,11,9,2018-02-24
Thomas Rhett,Marry Me,36,35,11,2018-02-24
YoungBoy Never Broke Again,Outside Today,37,37,5,2018-02-24
"Jay Rock, Kendrick Lamar, Future, James Blake",King's Dead,38,38,5,2018-02-24
Sam Smith,Too Good At Goodbyes,39,4,23,2018-02-24
Demi Lovato,Sorry Not Sorry,40,6,32,2018-02-24
"Offset, Metro Boomin",Ric Flair Drip,41,39,16,2018-02-24
Lil Pump,Gucci Gang,42,3,23,2018-02-24
Maroon 5,Wait,43,43,5,2018-02-24
"Gucci Mane, Migos",I Get The Bag,44,11,26,2018-02-24
800,1,45,3,42,2018-02-24
"N*E*R*D, Rihanna",Lemon,46,40,15,2018-02-24
Jason Aldean,You Make It Easy,47,28,3,2018-02-24
"Hailee Steinfeld, Alesso, Florida Georgia Line, Watt",Let Me Go,48,40,21,2018-02-24
"ScHoolboy Q, 2 Chainz, Saudi",X,49,,,2018-02-24
"Kodak Black, XXXTENTACION",Roll In Peace,50,31,26,2018-02-24
Scotty McCreery,Five More Minutes,51,51,11,2018-02-24
"Migos, Drake",Walk It Talk It,52,18,3,2018-02-24
"Rich The Kid, Kendrick Lamar",New Freezer,53,53,3,2018-02-24
"Macklemore, Kesha",Good Old Days,54,53,17,2018-02-24
Old Dominion,Written In The Sand,55,51,13,2018-02-24
"Ozuna, Romeo Santos",El Farsante,56,49,3,2018-02-24
Kane Brown,Heaven,57,57,8,2018-02-24
Migos,Narcos,58,36,3,2018-02-24
Chris Stapleton,Broken Halos,59,59,12,2018-02-24
"Famous Dex, A$AP Rocky",Pick It Up,60,57,14,2018-02-24
Daddy Yankee,Dura,61,61,2,2018-02-24
Rich The Kid,Plug Walk,62,,,2018-02-24
"Khalid, Swae Lee",The Ways,63,,,2018-02-24
Russell Dickerson,Yours,64,49,18,2018-02-24
"Taylor Swift, Ed Sheeran, Future",End Game,65,18,13,2018-02-24
Walker Hayes,You Broke Up With Me,66,62,17,2018-02-24
"SOB, RBE",Paramedic!,67,,,2018-02-24
Kelsea Ballerini,Legends,68,68,11,2018-02-24
Lil Xan,Betrayed,69,64,14,2018-02-24
"Lil Skies, Landon Cube",Nowadays,70,55,6,2018-02-24
"Kendrick Lamar, Travis Scott",Big Shot,71,,,2018-02-24
"Marshmello, Anne",Friends,72,,,2018-02-24
Devin Dawson,All On Me,73,73,12,2018-02-24
"Migos, Post Malone",Notice Me,74,52,3,2018-02-24
Imagine Dragons,Whatever It Takes,75,75,3,2018-02-24
"Liam Payne, Rita Ora",For You,76,76,2,2018-02-24
"6ix9ine, Fetty Wap, A Boogie Wit da Hoodie",Keke,77,43,5,2018-02-24
YoungBoy Never Broke Again,No Smoke,78,61,11,2018-02-24
"Luis Fonsi, Demi Lovato",Echame La Culpa,79,47,13,2018-02-24
Demi Lovato,Tell Me You Love Me,80,53,12,2018-02-24
"Lil Skies, Landon Cube",Red Roses,81,69,6,2018-02-24
Luke Bryan,Most People Are Good,82,82,3,2018-02-24
"Keala Settle, The Greatest Showman Ensemble",This Is Me,83,58,7,2018-02-24
Post Malone,Candy Paint,84,50,17,2018-02-24
Derez De'Shon,Hardaway,85,85,2,2018-02-24
"Ozuna, Cardi B",La Modelo,86,52,8,2018-02-24
WALK THE MOON,One Foot,87,65,7,2018-02-24
P!nk,Beautiful Trauma,88,78,8,2018-02-24
Jordan Davis,Singles You Up,89,89,2,2018-02-24
Justin Timberlake,Filthy,90,9,6,2018-02-24
Kendrick Lamar,Black Panther,91,,,2018-02-24
"Jacquees, Dej Loaf",At The Club,92,92,2,2018-02-24
"Kodak Black, Lil Wayne",Codeine Dreaming,93,52,12,2018-02-24
Brett Eldredge,The Long Way,94,93,2,2018-02-24
Plies,Rock,95,95,3,2018-02-24
Lauv,I Like Me Better,96,,,2018-02-24
Tank,When We,97,86,7,2018-02-24
"Natti Natasha, Ozuna",Criminal,98,95,3,2018-02-24
Dua Lipa,IDGAF,99,88,5,2018-02-24
"Zac Efron, Zendaya",Rewrite The Stars,100,70,7,2018-02-24
Drake,God's Plan,1,1,3,2018-02-17
"Bruno Mars, Cardi B",Finesse,3,3,6,2018-02-17
"Camila Cabello, Young Thug",Havana,4,1,26,2018-02-17
"Post Malone, 21 Savage",Rockstar,5,1,21,2018-02-17
Dua Lipa,New Rules,6,6,28,2018-02-17
"The Weeknd, Kendrick Lamar",Pray For Me,7,,,2018-02-17
Migos,Stir Fry,8,8,7,2018-02-17
"Bebe Rexha, Florida Georgia Line",Meant To Be,9,9,16,2018-02-17
Halsey,Bad At Love,10,5,23,2018-02-17
Imagine Dragons,Thunder,11,4,41,2018-02-17
NF,Let You Down,12,12,17,2018-02-17
"Kendrick Lamar, Zacari",Love.,13,11,33,2018-02-17
"Migos, Nicki Minaj, Cardi B",MotorSport,14,6,15,2018-02-17
G,Him & I,15,15,10,2018-02-17
G,No Limit,16,4,22,2018-02-17
"Justin Timberlake, Chris Stapleton",Say Something,17,9,2,2018-02-17
Post Malone,I Fall Apart,18,16,20,2018-02-17
Cardi B,Bodak Yellow,19,1,32,2018-02-17
"Cardi B, 21 Savage",Bartier Cardi,20,14,7,2018-02-17
Charlie Puth,How Long,21,21,18,2018-02-17
"Zedd, Maren Morris, Grey",The Middle,22,22,2,2018-02-17
Ed Sheeran,Shape Of You,23,1,57,2018-02-17
6ix9ine,Gummo,24,12,13,2018-02-17
"Selena Gomez, Marshmello",Wolves,25,20,16,2018-02-17
Portugal. The Man,Feel It Still,26,4,34,2018-02-17
Camila Cabello,Never Be The Same,27,27,8,2018-02-17
Sam Smith,Too Good At Goodbyes,28,4,22,2018-02-17
Bazzi,Mine,29,29,3,2018-02-17
"MAX, gnash",Lights Down Low,30,30,18,2018-02-17
"Kendrick Lamar, SZA",All The Stars,31,31,5,2018-02-17
"Miguel, Travis Scott",Sky Walker,32,29,20,2018-02-17
"A$AP Ferg, Nicki Minaj",Plain Jane,33,26,20,2018-02-17
Justin Timberlake,Filthy,34,9,5,2018-02-17
Khalid,Young Dumb & Broke,35,18,30,2018-02-17
Lil Pump,Gucci Gang,36,3,22,2018-02-17
Thomas Rhett,Marry Me,37,35,10,2018-02-17
Demi Lovato,Sorry Not Sorry,38,6,31,2018-02-17
YoungBoy Never Broke Again,Outside Today,39,39,4,2018-02-17
800,1,40,3,41,2018-02-17
"Gucci Mane, Migos",I Get The Bag,41,11,25,2018-02-17
"Eminem, Ed Sheeran",River,42,11,8,2018-02-17
"Offset, Metro Boomin",Ric Flair Drip,43,39,15,2018-02-17
"N*E*R*D, Rihanna",Lemon,44,40,14,2018-02-17
"Taylor Swift, Ed Sheeran, Future",End Game,45,18,12,2018-02-17
"Hailee Steinfeld, Alesso, Florida Georgia Line, Watt",Let Me Go,46,40,20,2018-02-17
"Kodak Black, XXXTENTACION",Roll In Peace,47,31,25,2018-02-17
"Migos, Drake",Walk It Talk It,48,18,2,2018-02-17
"Ozuna, Romeo Santos",El Farsante,49,49,2,2018-02-17
Migos,Narcos,50,36,2,2018-02-17
Old Dominion,Written In The Sand,51,51,12,2018-02-17
Jason Aldean,You Make It Easy,52,28,2,2018-02-17
"Macklemore, Kesha",Good Old Days,53,53,16,2018-02-17
Scotty McCreery,Five More Minutes,54,54,10,2018-02-17
Maroon 5,Wait,55,55,4,2018-02-17
"Carrie Underwood, Ludacris",The Champion,56,47,2,2018-02-17
"Famous Dex, A$AP Rocky",Pick It Up,57,57,13,2018-02-17
Russell Dickerson,Yours,58,49,17,2018-02-17
Chris Stapleton,Broken Halos,59,59,11,2018-02-17
"Rich The Kid, Kendrick Lamar",New Freezer,60,60,2,2018-02-17
Kane Brown,Heaven,61,61,7,2018-02-17
Walker Hayes,You Broke Up With Me,62,62,16,2018-02-17
"Keala Settle, The Greatest Showman Ensemble",This Is Me,63,58,6,2018-02-17
Lil Xan,Betrayed,64,64,13,2018-02-17
WALK THE MOON,One Foot,65,65,6,2018-02-17
Brett Young,Like I Loved You,66,46,20,2018-02-17
"6ix9ine, Fetty Wap, A Boogie Wit da Hoodie",Keke,67,43,4,2018-02-17
"Luis Fonsi, Demi Lovato",Echame La Culpa,68,47,12,2018-02-17
"Jay Rock, Kendrick Lamar, Future, James Blake",King's Dead,69,69,4,2018-02-17
"Lil Skies, Landon Cube",Nowadays,70,55,5,2018-02-17
Chris Young,Losing Sleep,71,60,20,2018-02-17
"Migos, Post Malone",Notice Me,72,52,2,2018-02-17
Justin Timberlake,Man Of The Woods,73,,,2018-02-17
Devin Dawson,All On Me,74,74,11,2018-02-17
Kelsea Ballerini,Legends,75,75,10,2018-02-17
YoungBoy Never Broke Again,No Smoke,76,61,10,2018-02-17
"Lil Skies, Landon Cube",Red Roses,77,69,5,2018-02-17
P!nk,Beautiful Trauma,78,78,7,2018-02-17
Demi Lovato,Tell Me You Love Me,79,53,11,2018-02-17
Post Malone,Candy Paint,80,50,16,2018-02-17
Daddy Yankee,Dura,81,,,2018-02-17
"Ozuna, Cardi B",La Modelo,82,52,7,2018-02-17
Drake,Diplomatic Immunity,83,7,3,2018-02-17
Luke Bryan,Most People Are Good,84,84,2,2018-02-17
"Zac Efron, Zendaya",Rewrite The Stars,85,70,6,2018-02-17
"Kodak Black, Lil Wayne",Codeine Dreaming,86,52,11,2018-02-17
Imagine Dragons,Whatever It Takes,87,87,2,2018-02-17
Dua Lipa,IDGAF,88,88,4,2018-02-17
"Migos, 21 Savage",BBO,89,48,2,2018-02-17
Derez De'Shon,Hardaway,90,,,2018-02-17
"Becky G, Bad Bunny",Mayores,91,74,16,2018-02-17
"Jacquees, Dej Loaf",At The Club,92,,,2018-02-17
Brett Eldredge,The Long Way,93,,,2018-02-17
Jordan Davis,Singles You Up,94,,,2018-02-17
"Natti Natasha, Ozuna",Criminal,95,95,2,2018-02-17
"Maluma, Nego do Borel",Corazon,96,87,6,2018-02-17
The Chainsmokers,Sick Boy,97,65,3,2018-02-17
Easton Corbin,A Girl Like You,98,,,2018-02-17
Plies,Rock,99,99,2,2018-02-17
Justin Timberlake,Supplies,100,71,2,2018-02-17
Drake,God's Plan,1,1,2,2018-02-10
"Bruno Mars, Cardi B",Finesse,3,3,5,2018-02-10
"Camila Cabello, Young Thug",Havana,4,1,25,2018-02-10
"Post Malone, 21 Savage",Rockstar,5,1,20,2018-02-10
Halsey,Bad At Love,6,5,22,2018-02-10
Dua Lipa,New Rules,7,7,27,2018-02-10
"Migos, Nicki Minaj, Cardi B",MotorSport,8,6,14,2018-02-10
"Justin Timberlake, Chris Stapleton",Say Something,9,,,2018-02-10
Imagine Dragons,Thunder,10,4,40,2018-02-10
"Bebe Rexha, Florida Georgia Line",Meant To Be,11,11,15,2018-02-10
Migos,Stir Fry,12,12,6,2018-02-10
G,No Limit,13,4,21,2018-02-10
NF,Let You Down,14,14,16,2018-02-10
"Kendrick Lamar, Zacari",Love.,15,11,32,2018-02-10
G,Him & I,16,15,9,2018-02-10
Post Malone,I Fall Apart,17,16,19,2018-02-10
"Migos, Drake",Walk It Talk It,18,,,2018-02-10
"Cardi B, 21 Savage",Bartier Cardi,19,14,6,2018-02-10
Sam Smith,Too Good At Goodbyes,20,4,21,2018-02-10
Charlie Puth,How Long,21,21,17,2018-02-10
Ed Sheeran,Shape Of You,22,1,56,2018-02-10
"Zedd, Maren Morris, Grey",The Middle,23,,,2018-02-10
6ix9ine,Gummo,24,12,12,2018-02-10
Cardi B,Bodak Yellow,25,1,31,2018-02-10
Lil Pump,Gucci Gang,26,3,21,2018-02-10
Portugal. The Man,Feel It Still,27,4,33,2018-02-10
Jason Aldean,You Make It Easy,28,,,2018-02-10
Imagine Dragons,Believer,29,4,52,2018-02-10
"Selena Gomez, Marshmello",Wolves,30,20,15,2018-02-10
"Miguel, Travis Scott",Sky Walker,31,29,19,2018-02-10
Camila Cabello,Never Be The Same,32,30,7,2018-02-10
800,1,33,3,40,2018-02-10
"A$AP Ferg, Nicki Minaj",Plain Jane,34,26,19,2018-02-10
Khalid,Young Dumb & Broke,35,18,29,2018-02-10
Migos,Narcos,36,,,2018-02-10
"Gucci Mane, Migos",I Get The Bag,37,11,24,2018-02-10
"MAX, gnash",Lights Down Low,38,38,17,2018-02-10
Thomas Rhett,Marry Me,39,35,9,2018-02-10
"Kodak Black, XXXTENTACION",Roll In Peace,40,31,24,2018-02-10
Bazzi,Mine,41,41,2,2018-02-10
Demi Lovato,Sorry Not Sorry,42,6,30,2018-02-10
"Taylor Swift, Ed Sheeran, Future",End Game,43,18,11,2018-02-10
"Eminem, Ed Sheeran",River,44,11,7,2018-02-10
YoungBoy Never Broke Again,Outside Today,45,45,3,2018-02-10
"Offset, Metro Boomin",Ric Flair Drip,46,39,14,2018-02-10
"N*E*R*D, Rihanna",Lemon,47,40,13,2018-02-10
"Migos, 21 Savage",BBO,48,,,2018-02-10
"Lil Uzi Vert, Nicki Minaj",The Way Life Goes,49,24,23,2018-02-10
"Hailee Steinfeld, Alesso, Florida Georgia Line, Watt",Let Me Go,50,40,19,2018-02-10
Justin Timberlake,Filthy,51,9,4,2018-02-10
"Migos, Post Malone",Notice Me,52,,,2018-02-10
Migos,Supastars,53,,,2018-02-10
"Kendrick Lamar, SZA",All The Stars,54,43,4,2018-02-10
Drake,Diplomatic Immunity,55,7,2,2018-02-10
Maroon 5,Wait,56,56,3,2018-02-10
Russell Dickerson,Yours,57,49,16,2018-02-10
Old Dominion,Written In The Sand,58,58,11,2018-02-10
"Macklemore, Kesha",Good Old Days,59,54,15,2018-02-10
Chris Young,Losing Sleep,60,60,19,2018-02-10
Scotty McCreery,Five More Minutes,61,61,9,2018-02-10
Chris Stapleton,Broken Halos,62,62,10,2018-02-10
"6ix9ine, Fetty Wap, A Boogie Wit da Hoodie",Keke,63,43,3,2018-02-10
"Migos, Travis Scott, Ty Dolla $ign, Big Sean",White Sand,64,,,2018-02-10
Lil Xan,Betrayed,65,65,12,2018-02-10
"Famous Dex, A$AP Rocky",Pick It Up,66,58,12,2018-02-10
Kane Brown,Heaven,67,67,6,2018-02-10
"Lil Skies, Landon Cube",Nowadays,68,55,4,2018-02-10
Walker Hayes,You Broke Up With Me,69,67,15,2018-02-10
Brett Young,Like I Loved You,70,46,19,2018-02-10
"Keala Settle, The Greatest Showman Ensemble",This Is Me,71,58,5,2018-02-10
"Luis Fonsi, Demi Lovato",Echame La Culpa,72,47,11,2018-02-10
Migos,Gang Gang,73,,,2018-02-10
WALK THE MOON,One Foot,74,74,5,2018-02-10
"Rich The Kid, Kendrick Lamar",New Freezer,75,,,2018-02-10
Devin Dawson,All On Me,76,76,10,2018-02-10
YoungBoy Never Broke Again,No Smoke,77,61,9,2018-02-10
Demi Lovato,Tell Me You Love Me,78,53,10,2018-02-10
"Ozuna, Cardi B",La Modelo,79,52,6,2018-02-10
"Lil Skies, Landon Cube",Red Roses,80,69,4,2018-02-10
"Zac Efron, Zendaya",Rewrite The Stars,81,70,5,2018-02-10
Post Malone,Candy Paint,82,50,15,2018-02-10
Migos,Higher We Go,83,,,2018-02-10
Kelsea Ballerini,Legends,84,79,9,2018-02-10
Migos,Auto Pilot,85,,,2018-02-10
"Kodak Black, Lil Wayne",Codeine Dreaming,86,52,10,2018-02-10
Migos,Emoji A Chain,87,,,2018-02-10
P!nk,Beautiful Trauma,88,88,6,2018-02-10
Eric Church,Round Here Buzz,89,56,19,2018-02-10
The Chainsmokers,Sick Boy,90,65,2,2018-02-10
YBN Nahmir,Rubbin Off The Paint,91,46,13,2018-02-10
"Ozuna, Romeo Santos",El Farsante,92,,,2018-02-10
Dua Lipa,IDGAF,93,92,3,2018-02-10
Luke Bryan,Most People Are Good,94,,,2018-02-10
"Becky G, Bad Bunny",Mayores,95,74,15,2018-02-10
"Migos, Gucci Mane",CC,96,,,2018-02-10
"Sofi Tukker, NERVO, The Knocks, Alisa Ueno",Best Friend,97,81,5,2018-02-10
"BTS, Desiigner",MIC Drop,98,28,10,2018-02-10
"Jay Rock, Kendrick Lamar, Future, James Blake",King's Dead,99,83,3,2018-02-10
"Maluma, Nego do Borel",Corazon,100,87,5,2018-02-10
Drake,God's Plan,1,1,1,2018-02-03
"Camila Cabello, Young Thug",Havana,3,1,24,2018-02-03
"Post Malone, 21 Savage",Rockstar,4,1,19,2018-02-03
"Bruno Mars, Cardi B",Finesse,5,3,4,2018-02-03
Halsey,Bad At Love,6,5,21,2018-02-03
Drake,Diplomatic Immunity,7,,,2018-02-03
Dua Lipa,New Rules,8,8,26,2018-02-03
Imagine Dragons,Thunder,9,4,39,2018-02-03
G,No Limit,10,4,20,2018-02-03
