Artists,Name,Peak position,Week,Weekly rank,Weeks on chart
Post Malone,Better Now,5,2018-08-04,5,13
Drake,Nice For What,1,2018-08-04,6,16
Ella Mai,Boo'd Up,5,2018-08-04,7,17
Juice WRLD,Lucid Dreams,3,2018-08-04,8,11
Post Malone Featuring Ty Dolla $ign,Psycho,1,2018-08-04,9,22
Tyga Featuring Offset,Taste,10,2018-08-04,10,9
Ariana Grande,No Tears Left To Cry,3,2018-08-04,11,14
Taylor Swift,Delicate,12,2018-08-04,12,20
Drake,God's Plan,1,2018-08-04,13,27
Lil Baby & Drake,Yes Indeed,6,2018-08-04,14,11
"Zedd, Maren Morris & Grey",The Middle,5,2018-08-04,15,26
Marshmello & Anne,Friends,11,2018-08-04,16,24
Ed Sheeran,Perfect,1,2018-08-04,17,48
Khalid & Normani,Love Lies,18,2018-08-04,18,23
XXXTENTACION,Sad!,1,2018-08-04,19,21
Bebe Rexha & Florida Georgia Line,Meant To Be,2,2018-08-04,20,40
Ariana Grande,God Is A Woman,11,2018-08-04,21,2
Bazzi,Mine,11,2018-08-04,22,27
Shawn Mendes,In My Blood,11,2018-08-04,23,19
Dan + Shay,Tequila,21,2018-08-04,24,20
5 Seconds Of Summer,Youngblood,25,2018-08-04,25,8
Selena Gomez,Back To You,22,2018-08-04,26,11
Calvin Harris & Dua Lipa,One Kiss,26,2018-08-04,27,16
"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",Big Bank,28,2018-08-04,28,8
Drake,Nonstop,2,2018-08-04,29,4
The Carters,Apeshit,13,2018-08-04,30,6
Lauv,I Like Me Better,29,2018-08-04,31,24
Camila Cabello,Never Be The Same,6,2018-08-04,32,32
Brett Young,Mercy,33,2018-08-04,33,12
Imagine Dragons,Whatever It Takes,12,2018-08-04,34,26
Kenny Chesney,Get Along,31,2018-08-04,35,16
Florida Georgia Line,Simple,36,2018-08-04,36,8
Imagine Dragons,Natural,,2018-08-04,37,
Drake,I'm Upset,7,2018-08-04,38,9
XXXTENTACION,Moonlight,13,2018-08-04,39,15
BlocBoy JB Featuring Drake,Look Alive,5,2018-08-04,40,24
"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",Te Bote,36,2018-08-04,41,14
Jason Aldean Featuring Miranda Lambert,Drowns The Whiskey,42,2018-08-04,42,6
Jake Owen,I Was Jack,43,2018-08-04,43,9
Foster The People,Sit Next To Me,42,2018-08-04,44,19
Childish Gambino,This Is America,1,2018-08-04,45,12
Cardi B,Be Careful,11,2018-08-04,46,17
Nicky Jam x J Balvin,X,41,2018-08-04,47,21
Luke Combs,One Number Away,34,2018-08-04,48,19
Thomas Rhett,Life Changes,49,2018-08-04,49,5
Keith Urban Featuring Julia Michaels,Coming Home,50,2018-08-04,50,5
XXXTENTACION,Changes,18,2018-08-04,51,15
"Benny Blanco, Halsey & Khalid",Eastside,52,2018-08-04,52,2
Drake,Mob Ties,13,2018-08-04,53,4
Drake Featuring Michael Jackson,Don't Matter To Me,9,2018-08-04,54,4
Nicki Minaj Featuring Ariana Grande,Bed,43,2018-08-04,55,6
Demi Lovato,Sober,56,2018-08-04,56,2
Chris Lane Featuring Tori Kelly,Take Back Home Girl,57,2018-08-04,57,8
Juice WRLD,All Girls Are The Same,41,2018-08-04,58,11
Luke Bryan,"Sunrise, Sunburn, Sunset",59,2018-08-04,59,4
Chance The Rapper,I Might Need Security,,2018-08-04,60,
Clean Bandit Featuring Demi Lovato,Solo,61,2018-08-04,61,4
Tiesto & Dzeko Featuring Preme & Post Malone,Jackie Chan,60,2018-08-04,62,3
Old Dominion,Hotel Key,63,2018-08-04,63,4
Bebe Rexha,I'm A Mess,64,2018-08-04,64,2
Queen Naija,Medicine,45,2018-08-04,65,8
Alessia Cara,Growing Pains,65,2018-08-04,66,4
Juice WRLD Featuring Lil Uzi Vert,Wasted,67,2018-08-04,67,2
Backstreet Boys,Don't Go Breaking My Heart,63,2018-08-04,68,5
Childish Gambino,Summertime Magic,44,2018-08-04,69,2
Morgan Wallen Featuring Florida Georgia Line,Up Down,49,2018-08-04,70,18
Morgan Evans,Kiss Somebody,71,2018-08-04,71,4
Becky G + Natti Natasha,Sin Pijama,72,2018-08-04,72,7
Lil Dicky Featuring Chris Brown,Freaky Friday,8,2018-08-04,73,19
Lauren Daigle,You Say,53,2018-08-04,74,2
lovelytheband,Broken,75,2018-08-04,75,2
Dylan Scott,Hooked,76,2018-08-04,76,2
Ciara,Level Up,,2018-08-04,77,
TK Kravitz Featuring Jacqueez,Ocean,78,2018-08-04,78,2
Kygo Featuring Miguel,Remind Me To Forget,79,2018-08-04,79,2
"Khalid, Ty Dolla $ign & 6LACK",OTW,57,2018-08-04,80,13
Daniel Caesar Featuring H.E.R.,Best Part,,2018-08-04,81,
G,1942,82,2018-08-04,82,2
Post Malone Featuring Nicki Minaj,Ball For Me,16,2018-08-04,83,13
Carrie Underwood,Cry Pretty,48,2018-08-04,84,7
Martin Garrix Featuring Khalid,Ocean,78,2018-08-04,85,4
Weezer,Africa,86,2018-08-04,86,2
Cole Swindell,Break Up In The End,87,2018-08-04,87,3
twenty one pilots,Jumpsuit,50,2018-08-04,88,3
The Weeknd,Call Out My Name,4,2018-08-04,89,17
Dennis Lloyd,Nevermind,,2018-08-04,90,
Kanye West,All Mine,11,2018-08-04,91,8
Migos,Narcos,36,2018-08-04,92,11
Billie Eilish,You Should See Me In A Crown,,2018-08-04,93,
Eric Church,Desperate Man,71,2018-08-04,94,2
Wiz Khalifa Featuring Swae Lee,Hopeless Romantic,72,2018-08-04,95,2
A$AP Rocky Featuring Skepta,Praise The Lord,45,2018-08-04,96,7
NF,Lie,,2018-08-04,97,
Kane Brown,Lose It,84,2018-08-04,98,2
Drake,Emotionless,8,2018-08-04,99,4
Drake,Can't Take A Joke,18,2018-08-04,100,4
Drake,In My Feelings,1,2018-07-28,1,3
Maroon 5 Featuring Cardi B,Girls Like You,3,2018-07-28,3,8
Drake,Nice For What,1,2018-07-28,4,15
Ella Mai,Boo'd Up,5,2018-07-28,5,16
Juice WRLD,Lucid Dreams,3,2018-07-28,6,10
Post Malone,Better Now,7,2018-07-28,7,12
Ariana Grande,No Tears Left To Cry,3,2018-07-28,8,13
Post Malone Featuring Ty Dolla $ign,Psycho,1,2018-07-28,9,21
Drake,God's Plan,1,2018-07-28,10,26
Ariana Grande,God Is A Woman,,2018-07-28,11,
Taylor Swift,Delicate,12,2018-07-28,12,19
Tyga Featuring Offset,Taste,13,2018-07-28,13,8
"Zedd, Maren Morris & Grey",The Middle,5,2018-07-28,14,25
XXXTENTACION,Sad!,1,2018-07-28,15,20
Lil Baby & Drake,Yes Indeed,6,2018-07-28,16,10
Bebe Rexha & Florida Georgia Line,Meant To Be,2,2018-07-28,17,39
Marshmello & Anne,Friends,11,2018-07-28,18,23
Ed Sheeran,Perfect,1,2018-07-28,19,47
Drake,Nonstop,2,2018-07-28,20,3
Khalid & Normani,Love Lies,21,2018-07-28,21,22
Bazzi,Mine,11,2018-07-28,22,26
Shawn Mendes,In My Blood,11,2018-07-28,23,18
Drake,I'm Upset,7,2018-07-28,24,8
Dan + Shay,Tequila,21,2018-07-28,25,19
Calvin Harris & Dua Lipa,One Kiss,26,2018-07-28,26,15
Selena Gomez,Back To You,22,2018-07-28,27,10
The Carters,Apeshit,13,2018-07-28,28,5
Lauv,I Like Me Better,29,2018-07-28,29,23
Camila Cabello,Never Be The Same,6,2018-07-28,30,31
Kenny Chesney,Get Along,31,2018-07-28,31,15
5 Seconds Of Summer,Youngblood,32,2018-07-28,32,7
Drake Featuring Michael Jackson,Don't Matter To Me,9,2018-07-28,33,3
Imagine Dragons,Whatever It Takes,12,2018-07-28,34,25
BlocBoy JB Featuring Drake,Look Alive,5,2018-07-28,35,23
Florida Georgia Line,Simple,36,2018-07-28,36,7
XXXTENTACION,Moonlight,13,2018-07-28,37,14
Brett Young,Mercy,38,2018-07-28,38,11
"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",Big Bank,39,2018-07-28,39,7
Childish Gambino,This Is America,1,2018-07-28,40,11
Cardi B,Be Careful,11,2018-07-28,41,16
"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",Te Bote,36,2018-07-28,42,13
Drake,Mob Ties,13,2018-07-28,43,3
Childish Gambino,Summertime Magic,,2018-07-28,44,
Jake Owen,I Was Jack,45,2018-07-28,45,8
Foster The People,Sit Next To Me,42,2018-07-28,46,18
Nicky Jam x J Balvin,X,41,2018-07-28,47,20
Jason Aldean Featuring Miranda Lambert,Drowns The Whiskey,48,2018-07-28,48,5
Luke Combs,One Number Away,34,2018-07-28,49,18
twenty one pilots,Jumpsuit,50,2018-07-28,50,2
XXXTENTACION,Changes,18,2018-07-28,51,14
Nicki Minaj Featuring Ariana Grande,Bed,43,2018-07-28,52,5
Lauren Daigle,You Say,,2018-07-28,53,
Thomas Rhett,Life Changes,54,2018-07-28,54,4
Juice WRLD,All Girls Are The Same,41,2018-07-28,55,10
"Benny Blanco, Halsey & Khalid",Eastside,,2018-07-28,56,
Chris Lane Featuring Tori Kelly,Take Back Home Girl,57,2018-07-28,57,7
Drake,Emotionless,8,2018-07-28,58,3
Morgan Wallen Featuring Florida Georgia Line,Up Down,49,2018-07-28,59,17
Tiesto & Dzeko Featuring Preme & Post Malone,Jackie Chan,60,2018-07-28,60,2
Drake,Can't Take A Joke,18,2018-07-28,61,3
Keith Urban Featuring Julia Michaels,Coming Home,62,2018-07-28,62,4
Backstreet Boys,Don't Go Breaking My Heart,63,2018-07-28,63,4
Luke Bryan,"Sunrise, Sunburn, Sunset",64,2018-07-28,64,3
Alessia Cara,Growing Pains,65,2018-07-28,65,3
Clean Bandit Featuring Demi Lovato,Solo,66,2018-07-28,66,3
Drake,Elevate,14,2018-07-28,67,3
Juice WRLD Featuring Lil Uzi Vert,Wasted,,2018-07-28,68,
Lil Dicky Featuring Chris Brown,Freaky Friday,8,2018-07-28,69,18
Old Dominion,Hotel Key,70,2018-07-28,70,3
Eric Church,Desperate Man,,2018-07-28,71,
Wiz Khalifa Featuring Swae Lee,Hopeless Romantic,,2018-07-28,72,
Wiz Khalifa Featuring Lil Skies,Fr Fr,,2018-07-28,73,
Morgan Evans,Kiss Somebody,74,2018-07-28,74,3
"Khalid, Ty Dolla $ign & 6LACK",OTW,57,2018-07-28,75,12
Post Malone Featuring Nicki Minaj,Ball For Me,16,2018-07-28,76,12
Kanye West,All Mine,11,2018-07-28,77,7
Queen Naija,Medicine,45,2018-07-28,78,7
twenty one pilots,Nico And The Niners,,2018-07-28,79,
Drake,Blue Tint,30,2018-07-28,80,3
Carrie Underwood,Cry Pretty,48,2018-07-28,81,6
Drake Featuring Static Major & Ty Dolla $ign,After Dark,41,2018-07-28,82,3
Becky G + Natti Natasha,Sin Pijama,83,2018-07-28,83,6
lovelytheband,Broken,,2018-07-28,84,
Dylan Scott,Hooked,,2018-07-28,85,
Halsey Featuring Big Sean & Stefflon Don,Alone,66,2018-07-28,86,14
TK Kravitz Featuring Jacqueez,Ocean,,2018-07-28,87,
Martin Garrix Featuring Khalid,Ocean,78,2018-07-28,88,3
David Lee Murphy & Kenny Chesney,Everything's Gonna Be Alright,66,2018-07-28,89,13
G,1942,,2018-07-28,90,
Cole Swindell,Break Up In The End,91,2018-07-28,91,2
Bebe Rexha,I'm A Mess,,2018-07-28,92,
Migos,Narcos,36,2018-07-28,93,10
Kygo Featuring Miguel,Remind Me To Forget,,2018-07-28,94,
The Weeknd,Call Out My Name,4,2018-07-28,95,16
A$AP Rocky Featuring Skepta,Praise The Lord,45,2018-07-28,96,6
Bad Wolves,Zombie,54,2018-07-28,97,18
Drake,8 Out Of 10,21,2018-07-28,98,3
Future,31 Days,65,2018-07-28,99,2
Drake Featuring JAY,Talk Up,20,2018-07-28,100,3
Drake,In My Feelings,1,2018-07-21,1,2
Maroon 5 Featuring Cardi B,Girls Like You,3,2018-07-21,3,7
Drake,Nice For What,1,2018-07-21,4,14
Ella Mai,Boo'd Up,5,2018-07-21,5,15
Drake,God's Plan,1,2018-07-21,6,25
Juice WRLD,Lucid Dreams,3,2018-07-21,7,9
Ariana Grande,No Tears Left To Cry,3,2018-07-21,8,12
Post Malone Featuring Ty Dolla $ign,Psycho,1,2018-07-21,9,20
XXXTENTACION,Sad!,1,2018-07-21,10,19
Drake,Nonstop,2,2018-07-21,11,2
Post Malone,Better Now,7,2018-07-21,12,11
"Zedd, Maren Morris & Grey",The Middle,5,2018-07-21,13,24
Bebe Rexha & Florida Georgia Line,Meant To Be,2,2018-07-21,14,38
Taylor Swift,Delicate,15,2018-07-21,15,18
Drake,I'm Upset,7,2018-07-21,16,7
Lil Baby & Drake,Yes Indeed,6,2018-07-21,17,9
Tyga Featuring Offset,Taste,18,2018-07-21,18,7
Bazzi,Mine,11,2018-07-21,19,25
Marshmello & Anne,Friends,11,2018-07-21,20,22
Drake Featuring Michael Jackson,Don't Matter To Me,9,2018-07-21,21,2
Ed Sheeran,Perfect,1,2018-07-21,22,46
Shawn Mendes,In My Blood,11,2018-07-21,23,17
Dan + Shay,Tequila,21,2018-07-21,24,18
Khalid & Normani,Love Lies,25,2018-07-21,25,21
Camila Cabello,Never Be The Same,6,2018-07-21,26,30
Imagine Dragons,Whatever It Takes,12,2018-07-21,27,24
Drake,Mob Ties,13,2018-07-21,28,2
Calvin Harris & Dua Lipa,One Kiss,29,2018-07-21,29,14
The Carters,Apeshit,13,2018-07-21,30,4
Selena Gomez,Back To You,22,2018-07-21,31,9
BlocBoy JB Featuring Drake,Look Alive,5,2018-07-21,32,22
Lauv,I Like Me Better,33,2018-07-21,33,22
XXXTENTACION,Moonlight,13,2018-07-21,34,13
Kenny Chesney,Get Along,35,2018-07-21,35,14
Cardi B,Be Careful,11,2018-07-21,36,15
Florida Georgia Line,Simple,37,2018-07-21,37,6
Drake,Emotionless,8,2018-07-21,38,2
Childish Gambino,This Is America,1,2018-07-21,39,10
5 Seconds Of Summer,Youngblood,40,2018-07-21,40,6
Brett Young,Mercy,41,2018-07-21,41,10
Foster The People,Sit Next To Me,42,2018-07-21,42,17
"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",Te Bote,36,2018-07-21,43,12
Drake,Elevate,14,2018-07-21,44,2
Drake,Can't Take A Joke,18,2018-07-21,45,2
"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",Big Bank,46,2018-07-21,46,6
XXXTENTACION,Changes,18,2018-07-21,47,13
Nicki Minaj Featuring Ariana Grande,Bed,43,2018-07-21,48,4
Luke Combs,One Number Away,34,2018-07-21,49,17
Jake Owen,I Was Jack,50,2018-07-21,50,7
Nicky Jam x J Balvin,X,41,2018-07-21,51,19
Jason Aldean Featuring Miranda Lambert,Drowns The Whiskey,52,2018-07-21,52,4
Future,Wifi Lit,,2018-07-21,53,
Morgan Wallen Featuring Florida Georgia Line,Up Down,49,2018-07-21,54,16
Drake,Blue Tint,30,2018-07-21,55,2
Drake Featuring Static Major & Ty Dolla $ign,After Dark,41,2018-07-21,56,2
Juice WRLD,All Girls Are The Same,41,2018-07-21,57,9
Drake Featuring JAY,Talk Up,20,2018-07-21,58,2
Drake,8 Out Of 10,21,2018-07-21,59,2
twenty one pilots,Jumpsuit,,2018-07-21,60,
Thomas Rhett,Life Changes,61,2018-07-21,61,3
XXXTENTACION,Jocelyn Flores,19,2018-07-21,62,20
Drake,Sandra's Rose,27,2018-07-21,63,2
Drake,Summer Games,28,2018-07-21,64,2
Future,31 Days,,2018-07-21,65,
Halsey Featuring Big Sean & Stefflon Don,Alone,66,2018-07-21,66,13
Drake,Jaded,32,2018-07-21,67,2
Drake,That's How You Feel,37,2018-07-21,68,2
Drake,Survival,17,2018-07-21,69,2
Chris Lane Featuring Tori Kelly,Take Back Home Girl,70,2018-07-21,70,6
Future,Cuddle My Wrist,,2018-07-21,71,
Lil Dicky Featuring Chris Brown,Freaky Friday,8,2018-07-21,72,17
Meek Mill Featuring Swizz Beatz,Millidelphia,,2018-07-21,73,
Morgan Evans,Kiss Somebody,74,2018-07-21,74,2
Post Malone Featuring Nicki Minaj,Ball For Me,16,2018-07-21,75,11
Future,Racks Blue,,2018-07-21,76,
Keith Urban Featuring Julia Michaels,Coming Home,77,2018-07-21,77,3
Drake,Finesse,42,2018-07-21,78,2
Meek Mill Featuring Jeremih & PnB Rock,Dangerous,,2018-07-21,79,
David Lee Murphy & Kenny Chesney,Everything's Gonna Be Alright,66,2018-07-21,80,12
Luke Bryan,"Sunrise, Sunburn, Sunset",81,2018-07-21,81,2
Backstreet Boys,Don't Go Breaking My Heart,82,2018-07-21,82,3
Lil Pump,Drug Addicts,,2018-07-21,83,
J. Cole,KOD,10,2018-07-21,84,12
Kanye West,All Mine,11,2018-07-21,85,6
Alessia Cara,Growing Pains,86,2018-07-21,86,2
Old Dominion,Hotel Key,87,2018-07-21,87,2
Tiesto & Dzeko Featuring Preme & Post Malone,Jackie Chan,,2018-07-21,88,
Li,Chun,10,2018-07-21,89,14
Queen Naija,Medicine,45,2018-07-21,90,6
Carrie Underwood,Cry Pretty,48,2018-07-21,91,5
Martin Garrix Featuring Khalid,Ocean,78,2018-07-21,92,2
Drake,Peak,38,2018-07-21,93,2
Juice WRLD,Legends,65,2018-07-21,94,2
The Weeknd,Call Out My Name,4,2018-07-21,95,15
Iggy Azalea Feauring Tyga,Kream,,2018-07-21,96,
"Khalid, Ty Dolla $ign & 6LACK",OTW,57,2018-07-21,97,11
Clean Bandit Featuring Demi Lovato,Solo,97,2018-07-21,98,2
Becky G + Natti Natasha,Sin Pijama,83,2018-07-21,99,5
Drake,Is There More,36,2018-07-21,100,2
Drake,Nice For What,1,2018-07-14,1,3
"Cardi B, Bad Bunny & J Balvin",I Like It,1,2018-07-14,3,13
Drake,God's Plan,1,2018-07-14,4,24
Maroon 5 Featuring Cardi B,Girls Like You,4,2018-07-14,5,6
Drake,In My Feelings,,2018-07-14,6,
Drake,I'm Upset,7,2018-07-14,7,6
Drake,Emotionless,,2018-07-14,8,
Drake Featuring Michael Jackson,Don't Matter To Me,,2018-07-14,9,
XXXTENTACION,Sad!,1,2018-07-14,10,18
Ella Mai,Boo'd Up,6,2018-07-14,11,14
Post Malone Featuring Ty Dolla $ign,Psycho,1,2018-07-14,12,19
Drake,Mob Ties,,2018-07-14,13,
Drake,Elevate,,2018-07-14,14,
Ariana Grande,No Tears Left To Cry,3,2018-07-14,15,11
Juice WRLD,Lucid Dreams,3,2018-07-14,16,8
Drake,Survival,,2018-07-14,17,
Drake,Can't Take A Joke,,2018-07-14,18,
"Zedd, Maren Morris & Grey",The Middle,5,2018-07-14,19,23
Drake Featuring JAY,Talk Up,,2018-07-14,20,
Drake,8 Out Of 10,,2018-07-14,21,
Bebe Rexha & Florida Georgia Line,Meant To Be,2,2018-07-14,22,37
Taylor Swift,Delicate,20,2018-07-14,23,17
Post Malone,Better Now,7,2018-07-14,24,10
Bazzi,Mine,11,2018-07-14,25,24
Lil Baby & Drake,Yes Indeed,6,2018-07-14,26,8
Drake,Sandra's Rose,,2018-07-14,27,
Drake,Summer Games,,2018-07-14,28,
Ed Sheeran,Perfect,1,2018-07-14,29,45
Drake,Blue Tint,,2018-07-14,30,
Shawn Mendes,In My Blood,11,2018-07-14,31,16
Drake,Jaded,,2018-07-14,32,
Marshmello & Anne,Friends,11,2018-07-14,33,21
Dan + Shay,Tequila,21,2018-07-14,34,17
Camila Cabello,Never Be The Same,6,2018-07-14,35,29
Drake,Is There More,,2018-07-14,36,
Drake,That's How You Feel,,2018-07-14,37,
Drake,Peak,,2018-07-14,38,
Tyga Featuring Offset,Taste,30,2018-07-14,39,6
Imagine Dragons,Whatever It Takes,12,2018-07-14,40,23
Drake Featuring Static Major & Ty Dolla $ign,After Dark,,2018-07-14,41,
Drake,Finesse,,2018-07-14,42,
The Carters,Apeshit,13,2018-07-14,43,3
BlocBoy JB Featuring Drake,Look Alive,5,2018-07-14,44,21
Calvin Harris & Dua Lipa,One Kiss,30,2018-07-14,45,13
Khalid & Normani,Love Lies,34,2018-07-14,46,20
XXXTENTACION,Moonlight,13,2018-07-14,47,12
Cardi B,Be Careful,11,2018-07-14,48,14
Selena Gomez,Back To You,22,2018-07-14,49,8
Childish Gambino,This Is America,1,2018-07-14,50,9
Drake,Ratchet Happy Birthday,,2018-07-14,51,
Lauv,I Like Me Better,41,2018-07-14,52,21
Kenny Chesney,Get Along,44,2018-07-14,53,13
Florida Georgia Line,Simple,45,2018-07-14,54,5
XXXTENTACION,Changes,18,2018-07-14,55,12
Drake,Final Fantasy,,2018-07-14,56,
Drake,March 14,,2018-07-14,57,
Nicky Jam x J Balvin,X,41,2018-07-14,58,18
Foster The People,Sit Next To Me,51,2018-07-14,59,16
Juice WRLD,All Girls Are The Same,41,2018-07-14,60,8
"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",Te Bote,36,2018-07-14,61,11
Morgan Wallen Featuring Florida Georgia Line,Up Down,49,2018-07-14,62,15
Queen Naija,Karma,,2018-07-14,63,
Brett Young,Mercy,48,2018-07-14,64,9
Luke Combs,One Number Away,34,2018-07-14,65,16
5 Seconds Of Summer,Youngblood,49,2018-07-14,66,5
"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",Big Bank,56,2018-07-14,67,5
XXXTENTACION,Jocelyn Flores,19,2018-07-14,68,19
